id,company_name,tax
62,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIÁO DỤC ARMY VĨNH PHÚC – CHI NHÁNH ARMY ENGLISH VĨNH YÊN,2500735373
63,CÔNG TY TNHH TMDV XUÂN LÃM - CHI NHÁNH VĨNH PHÚC,3703326755
64,CHI NHÁNH CÔNG TY TNHH EIKOU TẠI VĨNH PHÚC,110592630
65,CÔNG TY TNHH DỊCH VỤ VÀ VẬN TẢI HÙNG ĐẠT,2500743141
66,CÔNG TY TNHH TCSC TRADELARGES,2500745029
67,CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG BẢN NGUYÊN,2500743222
68,CÔNG TY TNHH TỨ XUYÊN-TRÙNG KHÁNH HƯƠNG VỊ QUÁN,2500742892
69,"CÔNG TY TNHH THƯƠNG MẠI, SẢN XUẤT, VẬT LIỆU XÂY DỰNG, TÂM LỘC PHÁT",2500745068
70,CÔNG TY TNHH PHÚC LÂM ACD,2500744995
71,CÔNG TY TNHH HẢI HƯƠNG VP88,2500745011
72,CÔNG TY TNHH HV KIDS ENGLISH CENTER,2500743085
73,CÔNG TY TNHH TIN HỌC NAM BÍCH,2500742998
74,CÔNG TY TNHH TM QUÂN HƯNG,2500744970
75,NHÀ MÁY GIẤY BÁO ĐÁP - CHI NHÁNH CÔNG TY TNHH CHÈ TÂN THÀNH,1915835
76,CÔNG TY TNHH TMDV NGUYÊN XÍU - CHI NHÁNH YÊN BÁI,110684063
77,CÔNG TY TNHH TỔ CHỨC SỰ KIỆN PHẠM HÙNG- CHI NHÁNH YÊN BÌNH,2803165958
78,CÔNG TY TNHH TỔ CHỨC SỰ KIỆN PHẠM HÙNG - CHI NHÁNH YÊN BÁI,2803165958
79,CÔNG TY TNHH TỔ CHỨC SỰ KIỆN PHẠM HÙNG - CHI NHÁNH VĂN YÊN,2803165958
80,CÔNG TY TNHH MTV CHUYỂN PHÁT VĂN NGỌC - CHI NHÁNH YÊN BÁI,5702185625
81,CÔNG TY TNHH MTV DU LỊCH HOÀNG TUÂN - CHI NHÁNH YÊN BÁI,2902224795
82,CÔNG TY TNHH VẬN TẢI ĐỖ VĂN TÁM - CHI NHÁNH YÊN BÁI,801449774
83,CÔNG TY TNHH THIẾT KẾ VIẾT LAM NGHỆ AN - CHI NHÁNH YÊN BÁI,2902224604
84,CÔNG TY TNHH TMDV ĐẦU TƯ THU HIỀN - CHI NHÁNH YÊN BÁI,2902224040
85,CHI NHÁNH 02 - CÔNG TY CỔ PHẦN NHA KHOA QUỐC TẾ NHẬT MINH,5200950047
86,CHI NHÁNH 01 - CÔNG TY CỔ PHẦN NHA KHOA QUỐC TẾ NHẬT MINH,5200950047
87,CÔNG TY TNHH TƯ VẤN XD BÙI XUYẾN - CHI NHÁNH YÊN BÁI,2803163100
88,CÔNG TY TNHH TỔNG HỢP NHIÊN LIỆU ĐÔ THÀNH - CHI NHÁNH YÊN BÁI,4601634569
89,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VCONS-CHI NHÁNH YÊN BÁI,4601634590
90,CÔNG TY TNHH TMDV HOÀNG LÝ-CHI NHÁNH YÊN BÁI,2601121764
91,CÔNG TY TNHH XÂY DỰNG LẮP ĐẶT THUỲ CHI- CHI NHÁNH YÊN BÁI,5400554731
92,CÔNG TY TNHH TMDV NHÀ HÀNG KHÁCH SẠN QUỐC ĐẠT - CHI NHÁNH YÊN THỊNH 2,3703320016
93,CÔNG TY TNHH TMDV NHÀ HÀNG KHÁCH SẠN QUỐC ĐẠT - CHI NHÁNH YÊN THỊNH 1,3703320016
94,CÔNG TY TNHH TMDV NHÀ HÀNG KHÁCH SẠN QUỐC ĐẠT - CHI NHÁNH HỒNG HÀ,3703320016
95,CÔNG TY TNHH TMDV KINH DOANH THÙY DƯƠNG - CHI NHÁNH ĐỒNG TÂM,3703319885
96,CÔNG TY TNHH TMDV KINH DOANH THÙY DƯƠNG - CHI NHÁNH HƯNG THỊNH,3703319885
97,CÔNG TY TNHH TMDV KINH DOANH ĐẦU TƯ QUỐC ĐẠT - CHI NHÁNH YÊN THỊNH,3703312858
98,CÔNG TY TNHH TMDV KINH DOANH ĐẦU TƯ QUỐC ĐẠT - CHI NHÁNH YÊN NINH,3703312858
99,CÔNG TY TNHH TMDV KINH DOANH ĐẦU TƯ QUỐC ĐẠT - CHI NHÁNH THÁI HỌC 1,3703312858
100,CÔNG TY TNHH DỊCH VỤ VIỄN THÔNG BA BỂ,4700297018
101,CÔNG TY TNHH MAI STONE,4700297000
102,CÔNG TY TNHH VẬN TẢI BK AN THỊNH,4700296977
103,CÔNG TY TNHH FS BẠCH THÔNG,4700296920
104,CHI NHÁNH 2 DOANH NGHIỆP TƯ NHÂN TRÒ CHƠI GIẢI TRÍ NGUYỄN VĂN KHẢI,11660223
105,CÔNG TY TNHH TMDV KINH DOANH ĐẦU TƯ QUỐC ĐẠT - CHI NHÁNH BL,3703312858
106,TRUNG TÂM NGOẠI NGỮ ABC CHI NHÁNH 1 - CÔNG TY TNHH GIÁO DỤC VÀ ĐÀO TẠO ABC BẠC LIÊU,1900689754
107,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ AN LÀNH VĨNH LỢI - CHI NHÁNH AN LÀNH HOTEL 3,1900685189
108,CÔNG TY TNHH KINH DOANH TỔNG HỢP VĂN THẠNH - CHI NHÁNH BẠC LIÊU,4601636083
109,CÔNG TY TNHH NHÀ HÀNG KHÁCH SẠN ẨM THỰC LIÊN GIA ĐẠI - CHI NHÁNH NHÀ MÁT,3703319860
110,CÔNG TY TNHH TƯ VẤN BĐS NGUYỄN NHUNG - CHI NHÁNH BẠC LIÊU,2803166038
111,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN VẬN TẢI NET - CHI NHÁNH BẠC LIÊU,801447022
112,CHI NHÁNH 1 TUẤN KIỆT - CÔNG TY TNHH MỘT THÀNH VIÊN GIÁO DỤC NGỌC HÂN,1900697755
113,CÔNG TY TNHH TMDV ĐỨC KIÊN COMPANY - CHI NHÁNH BẠC LIÊU,3703309365
114,CÔNG TY TNHH NÔNG NGHIỆP VĂN TIẾN - CHI NHÁNH BẠC LIÊU,2902224643
115,CÔNG TY TNHH DỊCH VỤ QUẢNG CÁO KIEUMAIADS - CHI NHÁNH BẠC LIÊU,111068973
116,CÔNG TY TNHH TMDV VĂN DŨNG- CHI NHÁNH BẠC LIÊU,5702185713
117,CHI NHÁNH GIÁ RAI - CÔNG TY TNHH XUẤT NHẬP KHẨU THỦY HẢI SẢN TÍNH THÚY TỶ,1900679996
118,CHI NHÁNH 2 - CÔNG TY TNHH QUỐC TẾ KINH ĐÔ,309810169
119,VĂN PHÒNG ĐẠI DIỆN SỐ 01 TẠI BẠC LIÊU - CÔNG TY CỔ PHẦN CHUYỂN PHÁT NHANH NETPOST VIỆT NAM,107763406
120,CÔNG TY TNHH SỬA CHỮA MOTOR KIMAI - CHI NHÁNH BẠC LIÊU,111071944
121,CHI NHÁNH 1 - CÔNG TY TNHH NAM PHONG MEDIC,1900690100
122,CÔNG TY TNHH TMDV KINH DOANH THÙY DƯƠNG - CHI NHÁNH HÀM NGHI,3703319885
123,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CARE FOR VIỆT NAM TẠI BẠC LIÊU,311114017
124,CHI NHÁNH RIO 2 – CÔNG TY TNHH RIO COFFEE AND MORE,1900699777
125,CHI NHÁNH RIO 1 – CÔNG TY TNHH RIO COFFEE AND MORE,1900699777
126,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ AN LÀNH VĨNH LỢI - CHI NHÁNH AN LÀNH HOTEL 2,1900685189
127,CÔNG TY TNHH PHÂN PHỐI THIẾT BỊ NÔNG NGHIỆP MAN TIÊM - CHI NHÁNH BẠC LIÊU,111068155
128,CÔNG TY TNHH MISUN AGRICO,1900701112
129,CÔNG TY TNHH HTC DENTAL,2301401841
130,CÔNG TY TNHH GIÁO DỤC THANH PHƯỢNG,2401072118
131,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI SƠN THUÝ,2401072213
132,CÔNG TY TNHH KHANG HƯNG GLOBAL,2301401760
133,CÔNG TY TNHH THƯƠNG MẠI THÉP THU TRẦN,2301401785
134,CÔNG TY TNHH TAM MI TEXTILE VN,2301401792
135,CÔNG TY TNHH DỊCH VỤ KẾ TOÁN KHÁNH AN,2401071361
136,CÔNG TY TNHH ĐIỆN TỬ XINBAIHUI (VIỆT NAM),2301402041
137,CÔNG TY TNHH TINH HOA KINH BẮC,2301402210
138,CÔNG TY TNHH XÂY DỰNG VÀ THÍ NGHIỆM ĐIỆN ADM VIỆT NAM,2401071883
139,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI HÙNG KIỆT,2401071989
140,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DƯƠNG HOÀ,2401072319
141,CÔNG TY TNHH TM-SX THẮNG THỊNH PHÁT,2401056067
142,CÔNG TY TNHH THỰC PHẨM QUẢNG ĐÔNG,2301397514
143,CÔNG TY TNHH THANG MÁY DK TECH,2401072421
144,CÔNG TY TNHH THỨC ĂN CHĂN NUÔI HIỀN ĐIỂM,2301397828
145,CÔNG TY TNHH XNK THƯƠNG MẠI THUẬN PHÁT,2401072076
146,CÔNG TY TNHH KIM THÁI BẢO,2301401471
147,CÔNG TY TNHH PHÁT TRIỂN DUNG CUA,2301401256
148,CÔNG TY CỔ PHẦN PHÁT TRIỂN MÔI TRƯỜNG XANH BẮC NINH,2301402080
149,CÔNG TY TNHH TÂM ANH BN,2401072164
150,CÔNG TY TNHH CƠ KHÍ CHÍNH XÁC CAV,2301402115
151,CÔNG TY TNHH  GREENWOOD LIFE,2401072125
152,CÔNG TY TNHH DỊCH VỤ MINH PHÚC BẮC NINH,2301401263
153,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC MT PROTECH VIỆT NAM,2401072326
154,CÔNG TY TNHH ĐƯỜNG KIM LOAN - CHI NHÁNH CHÂU THÀNH,1301147008
155,CHI NHÁNH CÔNG TY TNHH NĂNG LƯỢNG XANH ĐẠT TIẾN PHÁT,318889655
156,VĂN PHÒNG ĐẠI DIỆN BẾN TRE CÔNG TY TNHH TRUNG TÂM TƯ VẤN DỊCH VỤ NGHỀ HỌC LÁI XE Ô TÔ CẦN THƠ,1801746031
157,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG BẢO GIA PHÚ - CHI NHÁNH 1,1301109676
158,CHI NHÁNH KHÁCH SẠN SCOTT - CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SONG VY,1301062837
159,CHI NHÁNH CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP PHÁT (LÂM THANH),1501155623
160,CÔNG TY CỔ PHẦN HỢP TÁC QUỐC TẾ SAO VÀNG CỬU LONG- CHI NHÁNH BẾN TRE,318198175
161,CHI NHÁNH 05 - CÔNG TY TNHH DUY ANH ADC,1301116070
162,CÔNG TY TNHH THẾ GIỚI GAME DUY TÂN 79 - CHI NHÁNH SỐ 01,1301117109
163,CÔNG TY TNHH MỘT THÀNH VIÊN HỒNG HỒNG VÂN - CHI NHÁNH 02,1301148481
164,CÔNG TY TNHH MỘT THÀNH VIÊN HỒNG HỒNG VÂN - CHI NHÁNH 03,1301148481
165,CHI NHÁNH CÔNG TY TNHH TMDV SỮA DUYÊN ANH,1301147199
166,CHI NHÁNH CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VẠN HƯNG,3502304751
167,CHI NHÁNH CÔNG TY TNHH THIẾT BỊ Y TẾ LƯU GIA,318545894
168,CÔNG TY TNHH TMDV TÂN HẢI HƯNG BT,1301149206
169,CÔNG TY TNHH MỘT THÀNH VIÊN  XĂNG DẦU BẾN TRE - PETROLIMEX-CỬA HÀNG 33,14871039
170,CHI NHÁNH DOANH NGHIỆP TƯ NHÂN TÂM NGÂN,1300761487
171,CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC TIỀN GIANG - NHÀ SÁCH HÙNG VƯƠNG - CHI NHÁNH BẾN TRE,1200100525
172,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ CUNG ỨNG LAO ĐỘNG AN PHÁT - CHI NHÁNH GIAO LONG,1301126576
173,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU MÔI TRƯỜNG Á CHÂU,316816429
174,CÔNG TY TNHH DỊCH VỤ GIA CÔNG VŨ VÂN ANH - CHI NHÁNH GIAO LONG,1301068148
175,CÔNG TY TNHH CANYON MOTOR - CHI NHÁNH BÌNH ĐẠI,901188332
176,CÔNG TY TNHH ATB GROUP - CHI NHÁNH TỈNH BẾN TRE,110264453
177,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP HIẾU VĂN,1301150145
178,CÔNG TY TNHH DỊCH VỤ VẬN TẢI THUỶ NỘI ĐỊA TUẤN ĐẠT,1301150427
179,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ DRAGON SG,316608122
180,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG CVC TẠI QUY NHƠN,402068135
181,CÔNG TY TNHH THIẾT BỊ ĐIỆN TIẾN PHÚ_CHI NHÁNH TIẾN PHÚ ĐĂNG,4101261037
182,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BẢO NGHI GROUP - RIORE HEALTHCARE,312879153
183,CHI NHÁNH BÌNH ĐỊNH - CÔNG TY TNHH THỰC PHẨM OSU,318929876
184,CƠ SỞ 1 - CƠ SỞ DẠY KÈM AN TÂM - CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN HỆ SINH THÁI VẠN AN,4101657215
185,CƠ SỞ 2 - CƠ SỞ DẠY KÈM AN TÂM - CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN HỆ SINH THÁI VẠN AN,4101657215
186,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH PACIFIC LINES TẠI QUY NHƠN,309912234
187,CHI NHÁNH 12 CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI HÙ KIỆT,1100671405
188,CHI NHÁNH TUY PHƯỚC - CÔNG TY TNHH CHÍN HẠNH,4100406924
189,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XỔ SỐ KIẾN THIẾT HUẾ TẠI BÌNH ĐỊNH,3300100025
190,CÔNG TY TNHH GIÁO DỤC ÁNH DƯƠNG QUY NHƠN,4101658836
191,CÔNG TY TNHH TƯ VẤN QUY HOẠCH VÀ MÔI TRƯỜNG HÒA PHÁT - CHI NHÁNH TÂY SƠN,4101629070
192,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI DỊCH VỤ THÀNH AN BÌNH ĐỊNH,4101658804
193,CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG THÁI HƯNG,4101661740
194,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI BĐS ĐẤT BẮC LAND - CHI NHÁNH QUY NHƠN,5300829421
195,CÔNG TY TNHH THƯƠNG MẠI MINH TRÍ VINA,4101660546
196,CÔNG TY TNHH MTV VÀNG BẠC ĐÁ QUÝ HƯƠNG HÒA PHÁT,4101661765
197,CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG DELIFE,4101661684
198,CÔNG TY TNHH CÔNG NGHỆ KỸ THUẬT TRÍ VIỆT,4101661444
199,CÔNG TY TNHH MTV LCM,4101661557
200,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI RUBY,4101659798
201,CÔNG TY TNHH TƯ VẤN QUY HOẠCH VÀ MÔI TRƯỜNG HÒA PHÁT - CHI NHÁNH HOÀI NHƠN,4101629070
202,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI TỔNG HỢP BÌNH NGUYÊN,4101659727
203,CÔNG TY TNHH DỊCH VỤ MAY LÊ THU,4101661356
204,DOANH NGHIỆP TƯ NHÂN ĐẠI PHÁT MINH THIỆN,12042043
205,CHI NHÁNH CÔNG TY TNHH ĐỨC UY VŨ,3702647234
206,CHI NHÁNH DNTN Ý TRUNG,3700618781
207,CÔNG TY TNHH VIỆT TOTAL,21034401
208,CHI NHÁNH CÔNG TY TNHH ĐIỆN CƠ NAM VIỆT,302012107
209,CÔNG TY TNHH PHỤ TÙNG MOTOR TRƯỜNG HIỂN - CHI NHÁNH B5,110846959
210,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN Y DƯỢC V & H,318567351
211,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI XÂY DỰNG LONG PHÁT,318309777
212,CHI NHÁNH CÔNG TY TNHH NGUYỄN HỒNG HUẾ,3703017676
213,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CUNG ỨNG THỰC PHẨM SẠCH BÌNH DƯƠNG,3702998987
214,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU HẢI SẢN LINH TUỘC,3702882397
215,CHI NHÁNH THUẬN GIAO- CÔNG TY TNHH LONG PHÁT VƯƠNG,3702877397
216,CHI NHÁNH LAI HƯNG- CÔNG TY TNHH LONG PHÁT VƯƠNG,3702877397
217,CHI NHÁNH DẦU TIẾNG- CÔNG TY TNHH LONG PHÁT VƯƠNG,3702877397
218,CHI NHÁNH BÌNH CHUẨN- CÔNG TY TNHH LONG PHÁT VƯƠNG,3702877397
219,CHI NHÁNH THUẬN GIAO 2- CÔNG TY TNHH LONG PHÁT VƯƠNG,3702877397
220,CHI NHÁNH 1 - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VÀ XÂY DỰNG ÁNH DƯƠNG,3702709882
221,CHI NHÁNH 2- CÔNG TY TNHH TƯ VẤN VÀ ĐÀO TẠO TÂY HÀ LAN,3702648044
222,CHI NHÁNH CÔNG TY TNHH TƯ VẤN VÀ ĐÀO TẠO TÂY HÀ LAN,3702648044
223,CHI NHÁNH 01- CÔNG TY TNHH MỘT THÀNH VIÊN GARAGE Ô TÔ PHÁT VIỆT,3702589744
224,CHI NHÁNH CÔNG TY TNHH TM - DV - XD DŨNG THÁI SƠN,3702699433
225,CÔNG TY TNHH THƯƠNG MẠI VINH HOA VIỆT NAM - CHI NHÁNH BÌNH DƯƠNG,19183491
226,CHI NHÁNH 1 - CÔNG TY TNHH TM-DV TIN HỌC BICHI,3702761931
227,CHI NHÁNH 1 - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THIẾT BỊ Y TẾ BẢO ANH,3702619420
228,CHI NHÁNH 3 - CÔNG TY TNHH ĐÀM VƯƠNG GIA,3702717393
229,CÔNG TY TNHH MỘT THÀNH VIÊN NGUYÊN ĐÃI,13180180
230,CÔNG TY TNHH MINH QUÂN GROUP - VĂN PHÒNG ĐẠI DIỆN ALOHA,3801276291
231,CÔNG TY TNHH TM DV ĐẦU TƯ HOÀNG TẤN - CHI NHÁNH CHƠN THÀNH,3801269199
232,VĂN PHÒNG ĐẠI DIỆN SỐ 11 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
233,VĂN PHÒNG ĐẠI DIỆN SỐ 5 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
234,VĂN PHÒNG ĐẠI DIỆN SỐ 8 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
235,VĂN PHÒNG ĐẠI DIỆN SỐ 7 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
236,VĂN PHÒNG ĐẠI DIỆN SỐ 4 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
237,VĂN PHÒNG ĐẠI DIỆN SỐ 1 - CÔNG TY TNHH ĐẦU TƯ TOMONEY,3801239035
238,CÔNG TY CỔ PHẦN ĐỊNH GIÁ VÀ DỊCH VỤ TÀI CHÍNH VALUTICO GROUP – CHI NHÁNH BÌNH PHƯỚC,110087973
239,VĂN PHÒNG ĐẠI DIỆN PHƯỚC BÌNH CÔNG TY TNHH TƯ VẤN TÀI CHÍNH VIB,316828865
240,CHI NHÁNH 19 - CÔNG TY TNHH THỰC PHẨM TRÂU TƠ BÒ TƠ KHOA NGUYỄN,3702945914
241,CHI NHÁNH CÔNG TY TNHH MTV DÊ TƯƠI LƯƠNG SƠN,3801285810
242,CHI NHÁNH 2 - CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT DẦU ĐIỀU HÙNG LỘC,3601004678
243,CHI NHÁNH BÌNH PHƯỚC CÔNG TY TNHH THE HAPPY FARM,3603791195
244,CÔNG TY CỔ PHẦN THĂNG LONG SERVICE– CHI NHÁNH BÌNH PHƯỚC,110899397
245,CHI NHÁNH KAZUKO BÙ GIA MẬP - CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI PHAN ĐẠI PHÁT,312922521
246,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ LINH TẠI CHƠN THÀNH,3800388482
247,CÔNG TY TNHH CANYON MOTOR - CHI NHÁNH LỘC NINH,901188332
248,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐIỆN TỬ SONG PHƯƠNG,3801116530
249,CHI NHÁNH CÔNG TY TNHH CUNG ỨNG NHÂN LỰC AN KIỆT,3801309821
250,VĂN PHÒNG ĐẠI DIỆN TẠI BÌNH PHƯỚC - CÔNG TY TNHH TƯ VẤN GIÁO DỤC CLEVERMANN,317662348
251,VĂN PHÒNG ĐẠI DIỆN TẠI BÌNH PHƯỚC - CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ IMAXX,315550078
